Date,Close
20/10/11,41.32
21/10/11,42.35
24/10/11,41.84
25/10/11,43.52
26/10/11,44.65
27/10/11,45.43
28/10/11,45.5
31/10/11,44.18
1/11/11,42.72
2/11/11,43.41
3/11/11,44.02
4/11/11,43.85
7/11/11,44
8/11/11,44.7
9/11/11,42.43
10/11/11,43.1
11/11/11,44.01
14/11/11,43.57
15/11/11,43.7
16/11/11,43.51
17/11/11,42.63
18/11/11,42.48
21/11/11,41.7
22/11/11,41.12
23/11/11,39.68
25/11/11,39.41
28/11/11,40.82
29/11/11,41
30/11/11,43.55
1/12/11,42.75
2/12/11,43.29
5/12/11,43.57
6/12/11,43.56
7/12/11,43.03
8/12/11,42.07
9/12/11,42.71
12/12/11,41.83
13/12/11,41.63
14/12/11,41.1
15/12/11,41.39
16/12/11,41.39
19/12/11,40.49
20/12/11,41.89
21/12/11,41.74
22/12/11,42.96
23/12/11,43.28
27/12/11,43.14
28/12/11,42.36
29/12/11,42.63
30/12/11,42.74
3/1/12,44.14
4/1/12,44.75
5/1/12,44.25
6/1/12,44.08
9/1/12,44.07
10/1/12,44.39
11/1/12,44.06
12/1/12,44.2
13/1/12,43.77
17/1/12,44.24
18/1/12,44.56
19/1/12,44.71
20/1/12,44.02
23/1/12,44.63
24/1/12,44.7
25/1/12,44.9
26/1/12,44.77
27/1/12,43.7
30/1/12,44.14
31/1/12,45.91
1/2/12,45.55
2/2/12,45.53
3/2/12,46.57
6/2/12,46.87
7/2/12,46.6
8/2/12,46.97
9/2/12,46.77
10/2/12,46.35
13/2/12,47.37
14/2/12,46.47
15/2/12,45.96
16/2/12,46.65
17/2/12,47.62
21/2/12,47.16
22/2/12,46.87
23/2/12,47.27
24/2/12,46.99
27/2/12,47.54
28/2/12,47.84
29/2/12,47.16
1/3/12,47.84
2/3/12,47.5
5/3/12,47.96
6/3/12,46.23
7/3/12,46.54
8/3/12,47.11
9/3/12,46.69
12/3/12,46.72
13/3/12,47.33
14/3/12,46.7
15/3/12,46.69
16/3/12,46.83
19/3/12,46.92
20/3/12,46.22
21/3/12,46
22/3/12,45.3
23/3/12,45.59
26/3/12,46.23
27/3/12,44.9
28/3/12,44.7
29/3/12,44.35
30/3/12,45
2/4/12,45.34
3/4/12,44.51
4/4/12,43.33
5/4/12,43.37
9/4/12,43.26
10/4/12,42.3
11/4/12,42.05
12/4/12,42.96
13/4/12,42.15
16/4/12,42.51
17/4/12,43.27
18/4/12,43.2
19/4/12,42.5
20/4/12,41.99
23/4/12,41.95
24/4/12,41.91
25/4/12,42.19
26/4/12,43.29
27/4/12,43.53
30/4/12,43.41
1/5/12,42.7
2/5/12,42.36
3/5/12,42.02
4/5/12,40.96
7/5/12,41.33
8/5/12,40.42
9/5/12,39.26
10/5/12,39.78
11/5/12,39.65
14/5/12,38.86
15/5/12,38.18
16/5/12,38.18
17/5/12,37.5
18/5/12,37.1
21/5/12,37.71
22/5/12,37.85
23/5/12,37.92
24/5/12,38.23
25/5/12,38.36
29/5/12,38.11
30/5/12,37.02
31/5/12,36.46
1/6/12,36.76
4/6/12,36.58
5/6/12,36.81
6/6/12,38.19
7/6/12,38.48
8/6/12,38.1
11/6/12,38.29
12/6/12,39.02
13/6/12,38.83
14/6/12,39.39
15/6/12,40.21
18/6/12,39.52
19/6/12,40.24
20/6/12,39.99
21/6/12,37.92
22/6/12,38.37
25/6/12,37.66
26/6/12,37.81
27/6/12,38.24
28/6/12,38.53
29/6/12,40.54
2/7/12,40.69
3/7/12,40.81
5/7/12,40.35
6/7/12,39.63
9/7/12,39.67
10/7/12,39.65
11/7/12,40.29
12/7/12,40.3
13/7/12,40.95
16/7/12,41.35
17/7/12,41.69
18/7/12,41.74
19/7/12,41.86
20/7/12,41.55
23/7/12,40.4
24/7/12,39.81
25/7/12,39.88
26/7/12,40.91
27/7/12,41.55
30/7/12,41.82
31/7/12,39.9
1/8/12,40.15
2/8/12,39.95
3/8/12,41.03
6/8/12,41.47
7/8/12,42.5
8/8/12,42.24
9/8/12,42.22
